	Nazwa
0	Abisynia
1	Abram
2	Abramiki
3	Abramów
4	Abramów-Kolonia
5	Abramowice
6	Abramówka
7	Abramy
8	Achrymowce
9	Adama
10	Adamcowa
11	Adamczowice
12	Adamczycha
13	Adamczyki
14	Adamczykowa
15	Adamek
16	Adamierz
17	Adamin
18	Adaminów
19	Adaminowo
20	Adamka
21	Adamki
22	Adamkówka
23	Adamkowo
24	Adamów
25	Adamów-Kolonia
26	Adamów-Parcel
27	Adamów-Wieś
28	Adamowa
29	Adamowe
30	Adamówek
31	Adamowice
32	Adamowizna
33	Adamówka
34	Adamowo
35	Adamowo-Dozin
36	Adamowo-Leśnictwo
37	Adamowo-Osiedle
38	Adamowo-Zastawa
39	Adampol
40	Adamusy
41	Adamy
42	Adelin
43	Adelina
44	Adelinów
45	Administracyjne
46	Adolfin
47	Adolfinów
48	Adolfów
49	Adolfowo
50	Adrianka
51	Adwokatowo
52	Afryka
53	Agatówka
54	Agnieszczyn
55	Agnieszków
56	Agnieszkowo
57	Agnieszkowo-Krzyżówki
58	Agnopol
59	Agrafinówka
60	Akacyjki
61	Aksamitowizna
62	Aksamity
63	Aksmanice
64	Akwizgran
65	Albertów
66	Albertów-Cegielnia
67	Albertów-Folwark
68	Albertowa
69	Albertowo
70	Albertowsko
71	Albertynowo
72	Albigowa
73	Albinów
74	Albrechtówka
75	Alej
76	Aleja
77	Aleksandria
78	Aleksandrów
79	Aleksandrówek
80	Aleksandrowice
81	Aleksandrowiec
82	Aleksandrówka
83	Aleksandrowo
84	Aleksandrynów
85	Aleksewo
86	Aleksicze
87	Aleksiejówka
88	Alfonsów
89	Alfonsowo
90	Alfredów
91	Alfredówka
92	Alin
93	Alinów
94	Alinowo
95	Alojzów
96	Alojzówka
97	Alpy
98	Altain
99	Altana
100	Altanka
101	Altona
102	Alwa
103	Alwernia
104	Amalka
105	Amandów
106	Ambrożew
107	Ambrożew-Parcele
108	Ambrożów
109	Amelin
110	Ameliówka
111	Ameryczka
112	Ameryka
113	Amirowice
114	Anachów
115	Anapole
116	Anastazew
117	Anastazewo
118	Anastazów
119	Anatolin
120	Ancuty
121	Ancuty-Kolonia
122	Anczykówka
123	Andrespol
124	Andruszkowice
125	Andrychów
126	Andrychy
127	Andryjanki
128	Andryszów
129	Andrzejewo
130	Andrzejewo-Kolonie
131	Andrzejewo-Zarzecze
132	Andrzejki
133	Andrzejki-Tyszki
134	Andrzejów
135	Andrzejów-Osada
136	Andrzejówka
137	Andrzejówka-Kolonia
138	Andrzejpole
139	Andzin
140	Andziółówka
141	Anglity
142	Angowice
143	Anielew
144	Anielewo
145	Anielin
146	Anielina
147	Anielinek
148	Anielino
149	Anieliny
150	Anielki
151	Anielów
152	Anielówka
153	Anielpol
154	Anin
155	Aniołka
156	Aniołka-Parcele
157	Aniołki
158	Aniołów
159	Aniołowie
160	Aniołowo
161	Ankamaty
162	Anna
163	Annapol
164	Annetów
165	Annobór
166	Annobór-Kolonia
167	Annogóra
168	Annolesie
169	Annopol
170	Annopole
171	Annosław
172	Annów
173	Annówka
174	Annowo
175	Anonin
176	Ant
177	Antaczówka
178	Antałówka
179	Anteczków
180	Antolek
181	Antolin
182	Antolka
183	Antomieszki
184	Antonia
185	Antonie
186	Antonielów
187	Antoniew
188	Antoniew-Lubocha
189	Antoniewice
190	Antoniewko
191	Antoniewo
192	Antoniewo-Góry
193	Antoniki
194	Antonin
195	Antonina
196	Antoninek
197	Antoninów
198	Antoniny
199	Antoniów
200	Antoniów-Kolonia
201	Antoniówek
202	Antoniowiec
203	Antoniówka
204	Antoniuk
205	Antońka
206	Antonów
207	Antonówka
208	Antonówki
209	Antonowo
210	Antopol
211	Antosin
212	Antosze
213	Antoszka
214	Anulin
215	Anusin
216	Anusinek
217	Anuszewo
218	Aplinki
219	Apolinary
220	Apolinów
221	Apolonia
222	Apolonka
223	Apolonka-Leśniczówka
224	Apostoły
225	Aptynty
226	Arbasy
227	Arcelin
228	Archaniołów
229	Archutówko
230	Archutowo
231	Arciechów
232	Arciechówek
233	Arciszewo
234	Arcugowo
235	Ardapy
236	Arenda
237	Arendarczykówka
238	Arendowizna
239	Arendy
240	Arentowo
241	Argentyna
242	Ariany
243	Arkadia
244	Arkadia-Parcela
245	Arklity
246	Arkuszewo
247	Arkuszów
248	Arłamów
249	Arntowo
250	Artulewo
251	Arturówek
252	Arturowo
253	Artych
254	Arynów
255	Asmus
256	Astachowice
257	Asuny
258	Aszkarówka
259	Atalin
260	Atanazyn
261	Ateny
262	Audyniszki
263	Augamy
264	Auguścin
265	Augustopol
266	Augustów
267	Augustówek
268	Augustówka
269	Augustowo
270	Augustynka
271	Augustynki
272	Augustynów
273	Augustynowo
274	Augustyny
275	Aulakowszczyzna
276	Auls
277	Aurelin
278	Autostrada
279	Awajki
280	Awuls
281	Azja
282	Azory
283	Baba
284	Babalice
285	Babańce
286	Babcówka
287	Babczów
288	Babczyzna
289	Babi
290	Babia
291	Babiak
292	Babiaki
293	Babianka
294	Babiarze
295	Babiarzówka
296	Babica
297	Babice
298	Babice-Kolonia
299	Babicha
300	Babichy
301	Babiczki
302	Babidół
303	Babie
304	Babiec
305	Babiec-Więczanki
306	Babiec-Wrzosy
307	Babienica
308	Babieniec
309	Babięta
310	Babięty
311	Babigóra
312	Babigoszcz
313	Babiki
314	Babilon
315	Babimost
316	Babin
317	Babin-Olędry
318	Babina
319	Babinek
320	Babiniec
321	Babino
322	Babińskie
323	Babiny
324	Babiocha
325	Babiwoda
326	Babka
327	Babki
328	Babkowice
